,ZONEID,timestamp,Forecasted Total Load,Forecasted Zonal Load,Zonal Price
0,1,01012011 0:00,15187,5091,43.17
1,1,01012011 1:00,14464,4918,36.24
2,1,01012011 2:00,13940,4763,34.64
3,1,01012011 3:00,13609,4660,33.76
4,1,01012011 4:00,13391,4599,33.08
5,1,01012011 5:00,13068,4497,32.37
6,1,01012011 6:00,13060,4378,34.66
7,1,01012011 7:00,13570,4330,38.97
8,1,01012011 8:00,14099,4423,42.9
9,1,01012011 9:00,14662,4604,45.29
10,1,01012011 10:00,15135,4791,46.57
11,1,01012011 11:00,15423,4923,46.45
12,1,01012011 12:00,15419,4965,45.01
13,1,01012011 13:00,15362,4967,42.51
14,1,01012011 14:00,15273,4954,41.13
15,1,01012011 15:00,15299,4959,43.5
16,1,01012011 16:00,15880,5062,55.36
17,1,01012011 17:00,17122,5329,62.73
18,1,01012011 18:00,17164,5396,58.08
19,1,01012011 19:00,16832,5329,55.43
20,1,01012011 20:00,16506,5245,49.33
21,1,01012011 21:00,16171,5171,44.32
22,1,01012011 22:00,15626,5091,42.19
23,1,01012011 23:00,14887,4940,39.23
24,1,01022011 0:00,13565,4514,42.48
25,1,01022011 1:00,13235,4448,36.94
26,1,01022011 2:00,13056,4396,33.81
27,1,01022011 3:00,12954,4375,32.54
28,1,01022011 4:00,12817,4330,31.16
29,1,01022011 5:00,12609,4223,30.67
30,1,01022011 6:00,12829,4190,36.07
31,1,01022011 7:00,13499,4276,35.19
32,1,01022011 8:00,14179,4452,35.9
33,1,01022011 9:00,14886,4709,39.44
34,1,01022011 10:00,15422,4928,39.97
35,1,01022011 11:00,15716,5079,40.54
36,1,01022011 12:00,15751,5151,40.39
37,1,01022011 13:00,15695,5163,39.86
38,1,01022011 14:00,15629,5171,39.39
39,1,01022011 15:00,15714,5180,41.1
40,1,01022011 16:00,16452,5320,53.75
41,1,01022011 17:00,18125,5694,68.77
42,1,01022011 18:00,18455,5806,66.65
43,1,01022011 19:00,18311,5795,62.84
44,1,01022011 20:00,18040,5755,56.55
45,1,01022011 21:00,17485,5662,47.56
46,1,01022011 22:00,16596,5486,40.47
47,1,01022011 23:00,15599,5231,40.33
48,1,01032011 0:00,14952,4977,39.7
49,1,01032011 1:00,14384,4774,36.75
50,1,01032011 2:00,14131,4654,33.87
51,1,01032011 3:00,14065,4598,33.79
52,1,01032011 4:00,14241,4600,34.28
53,1,01032011 5:00,15043,4757,40.5
54,1,01032011 6:00,16710,5180,49.9
55,1,01032011 7:00,18138,5661,55.53
56,1,01032011 8:00,18637,5969,54.03
57,1,01032011 9:00,19009,6227,55.44
58,1,01032011 10:00,19236,6372,58.89
59,1,01032011 11:00,19259,6443,58.53
60,1,01032011 12:00,19128,6457,54.75
61,1,01032011 13:00,19019,6448,51.65
62,1,01032011 14:00,18871,6443,51.11
63,1,01032011 15:00,18877,6445,51.46
64,1,01032011 16:00,19580,6587,61.69
65,1,01032011 17:00,21283,6867,76.0
66,1,01032011 18:00,21502,6828,68.47
67,1,01032011 19:00,21092,6680,78.12
68,1,01032011 20:00,20523,6506,62.25
69,1,01032011 21:00,19512,6260,51.06
70,1,01032011 22:00,18044,5927,46.4
71,1,01032011 23:00,16495,5487,45.98
72,1,01042011 0:00,15621,5113,41.3
73,1,01042011 1:00,14947,4862,38.79
74,1,01042011 2:00,14613,4715,37.83
75,1,01042011 3:00,14478,4639,36.53
76,1,01042011 4:00,14611,4626,36.79
77,1,01042011 5:00,15430,4798,41.48
78,1,01042011 6:00,17068,5233,50.09
79,1,01042011 7:00,18363,5705,54.54
80,1,01042011 8:00,18759,5994,52.81
81,1,01042011 9:00,19047,6228,55.22
82,1,01042011 10:00,19248,6367,58.05
83,1,01042011 11:00,19243,6428,54.95
84,1,01042011 12:00,19089,6430,54.79
85,1,01042011 13:00,18979,6420,53.17
86,1,01042011 14:00,18834,6411,53.14
87,1,01042011 15:00,18865,6421,52.51
88,1,01042011 16:00,19558,6563,55.35
89,1,01042011 17:00,21230,6848,69.7
90,1,01042011 18:00,21386,6801,66.17
91,1,01042011 19:00,20965,6647,61.28
92,1,01042011 20:00,20378,6461,62.35
93,1,01042011 21:00,19350,6203,53.09
94,1,01042011 22:00,17891,5867,45.42
95,1,01042011 23:00,16315,5414,44.76
96,1,01052011 0:00,15516,5057,40.14
97,1,01052011 1:00,14900,4835,39.33
98,1,01052011 2:00,14588,4703,37.25
99,1,01052011 3:00,14435,4625,36.42
100,1,01052011 4:00,14543,4605,36.4
101,1,01052011 5:00,15318,4769,39.44
102,1,01052011 6:00,16863,5199,50.33
103,1,01052011 7:00,18087,5653,62.07
104,1,01052011 8:00,18530,5938,62.12
105,1,01052011 9:00,18908,6181,62.74
106,1,01052011 10:00,19193,6332,63.0
107,1,01052011 11:00,19263,6406,61.27
108,1,01052011 12:00,19183,6424,60.38
109,1,01052011 13:00,19102,6418,56.47
110,1,01052011 14:00,19001,6423,59.39
111,1,01052011 15:00,19046,6435,58.9
112,1,01052011 16:00,19729,6575,64.19
113,1,01052011 17:00,21388,6858,86.52
114,1,01052011 18:00,21590,6819,80.22
115,1,01052011 19:00,21207,6671,68.11
116,1,01052011 20:00,20662,6497,64.2
117,1,01052011 21:00,19710,6270,62.65
118,1,01052011 22:00,18315,5955,50.02
119,1,01052011 23:00,16789,5524,47.94
120,1,01062011 0:00,15878,5159,43.84
121,1,01062011 1:00,15178,4897,40.57
122,1,01062011 2:00,14819,4745,39.75
123,1,01062011 3:00,14663,4660,38.67
124,1,01062011 4:00,14817,4647,37.67
125,1,01062011 5:00,15676,4836,41.14
126,1,01062011 6:00,17367,5308,50.32
127,1,01062011 7:00,18699,5817,62.0
128,1,01062011 8:00,19109,6124,62.01
129,1,01062011 9:00,19449,6378,63.34
130,1,01062011 10:00,19654,6524,65.06
131,1,01062011 11:00,19650,6589,63.88
132,1,01062011 12:00,19513,6589,58.58
133,1,01062011 13:00,19398,6576,61.63
134,1,01062011 14:00,19268,6573,57.45
135,1,01062011 15:00,19300,6585,58.87
136,1,01062011 16:00,19954,6716,67.47
137,1,01062011 17:00,21623,6981,100.28
138,1,01062011 18:00,21867,6939,83.48
139,1,01062011 19:00,21491,6783,73.18
140,1,01062011 20:00,20916,6592,68.44
141,1,01062011 21:00,19888,6347,62.48
142,1,01062011 22:00,18414,6020,55.26
143,1,01062011 23:00,16817,5571,47.08
144,1,01072011 0:00,16012,5205,45.53
145,1,01072011 1:00,15268,4925,41.53
146,1,01072011 2:00,14865,4754,40.54
147,1,01072011 3:00,14668,4657,37.76
148,1,01072011 4:00,14799,4644,38.28
149,1,01072011 5:00,15648,4847,43.66
150,1,01072011 6:00,17401,5354,55.16
151,1,01072011 7:00,18862,5912,65.74
152,1,01072011 8:00,19365,6247,63.41
153,1,01072011 9:00,19763,6510,66.16
154,1,01072011 10:00,20015,6652,67.9
155,1,01072011 11:00,20003,6704,68.52
156,1,01072011 12:00,19867,6692,66.05
157,1,01072011 13:00,19725,6665,65.31
158,1,01072011 14:00,19548,6651,63.9
159,1,01072011 15:00,19529,6655,61.63
