,ZONEID,TIMESTAMP,tclw,tciw,SP,r,TCC,10u,10v,2T,SSRD,STRD,TSR,TP,POWER
2012-04-01 01:00:00,1,20120401 01:00,0.001966858,0.003608704,94843.625,60.22190857,0.244601131,1.039334297,-2.50303936,294.4484863,2577830.0,1202532.0,2861797.0,0.0,0.754102564
2012-04-01 02:00:00,1,20120401 02:00,0.00552449,0.033574812,94757.9375,54.67860413,0.457137644,2.482865334,-2.993330002,295.6513672,2778263.0,1244225.0,3087581.0,0.0,0.555
2012-04-01 03:00:00,1,20120401 03:00,0.03011322,0.132008791,94732.8125,61.29489136,0.77142942,3.339866638,-1.982535362,294.4545898,2565695.0,1234579.0,2989798.0,0.001340866,0.438397436
2012-04-01 04:00:00,1,20120401 04:00,0.057167053,0.110645294,94704.0625,67.77528381,0.965866208,3.10610199,-1.446050644,293.2614746,1938732.0,1240168.0,2392503.0,0.002501488,0.145448718
2012-04-01 05:00:00,1,20120401 05:00,0.051026557,0.189559937,94675.0,70.17298889,0.944668651,2.601145744,-1.904493332,292.7329102,1282577.0,1332876.0,1773879.0,0.003331184,0.111987179
2012-04-01 06:00:00,1,20120401 06:00,0.036995962,0.0990448,94676.9375,72.3740387,0.641353369,1.333368301,-1.728430748,292.0771484,672670.0,1304035.0,1092945.0,0.003960133,0.05724359
2012-04-01 07:00:00,1,20120401 07:00,0.080911219,0.121322632,94708.0625,81.79873657,0.753142357,1.457922935,-1.034620285,291.0693359,458824.0,1240202.0,726839.0,0.004969597,0.088717949
2012-04-01 08:00:00,1,20120401 08:00,0.03615883,0.139068604,94748.8125,87.85406494,0.788338363,2.374826431,-1.089039803,289.0734863,76699.0,1242550.0,187609.0,0.006476879,0.030064103
2012-04-01 09:00:00,1,20120401 09:00,0.036372229,0.072608948,94785.8125,88.79348755,0.502274573,1.985530853,-0.963009834,288.03125,0.0,1216149.0,0.0,0.006724834,0.000128205
2012-04-01 10:00:00,1,20120401 10:00,0.014352933,0.035797119,94817.75,90.45066833,0.501918316,1.999518394,-0.930319786,287.4057617,0.0,1202816.0,0.0,0.006744862,0.0
2012-04-01 11:00:00,1,20120401 11:00,0.00538747,0.004501343,94847.375,90.67617798,0.156774283,1.809739113,-0.098176956,286.3208008,0.0,1139747.0,-384.0,0.00674963,0.0
2012-04-01 12:00:00,1,20120401 12:00,0.000869751,0.0,94852.0625,92.9289093,0.014343262,1.35490799,-0.922255516,285.0354004,0.0,1124686.0,0.0,0.00674963,0.0
2012-04-01 13:00:00,1,20120401 13:00,0.0,0.0,94810.625,94.98951721,0.004364014,1.256863594,-1.156412125,284.7331543,0.0,1095561.0,0.0,0.00674963,0.0
2012-04-01 14:00:00,1,20120401 14:00,0.0,0.0,94758.125,94.81033325,0.0,0.921033859,-0.804039002,284.4626465,0.0,1091762.0,0.0,0.00674963,0.0
2012-04-01 15:00:00,1,20120401 15:00,0.001480103,0.0,94730.375,95.55996704,0.039764404,0.622429848,0.318148613,284.1330566,0.0,1077424.0,0.0,0.00674963,0.0
2012-04-01 16:00:00,1,20120401 16:00,0.005981445,0.0,94721.5625,99.39195251,0.38659668,-0.404500008,1.343285561,282.8701172,0.0,1091232.0,0.0,0.006750107,0.0
